item_id,user_id,rating,timestamp,model_attr,category,brand,year,user_attr,split
0,0,5.0,1999-06-13,Female,Portable Audio & Video,,1999,,0
0,1,5.0,1999-06-14,Female,Portable Audio & Video,,1999,,0
0,2,3.0,1999-06-17,Female,Portable Audio & Video,,1999,,0
0,3,1.0,1999-07-01,Female,Portable Audio & Video,,1999,,0
0,4,2.0,1999-07-06,Female,Portable Audio & Video,,1999,,0
0,5,2.0,1999-07-12,Female,Portable Audio & Video,,1999,,0
0,6,5.0,1999-07-13,Female,Portable Audio & Video,,1999,,0
0,7,2.0,1999-07-13,Female,Portable Audio & Video,,1999,,0
0,8,4.0,1999-07-16,Female,Portable Audio & Video,,1999,,0
0,9,5.0,1999-08-20,Female,Portable Audio & Video,,1999,,0
0,10,1.0,1999-08-24,Female,Portable Audio & Video,,1999,,0
0,11,1.0,1999-10-04,Female,Portable Audio & Video,,1999,,0
0,12,5.0,1999-10-10,Female,Portable Audio & Video,,1999,,0
0,13,5.0,1999-10-12,Female,Portable Audio & Video,,1999,,0
1,14,4.0,1999-10-17,Female,Computers & Accessories,HP,2000,,0
0,15,5.0,1999-10-21,Female,Portable Audio & Video,,1999,,0
2,16,4.0,1999-10-25,Female&Male,Headphones,,2000,,0
0,17,5.0,1999-10-29,Female,Portable Audio & Video,,1999,,0
0,18,1.0,1999-11-06,Female,Portable Audio & Video,,1999,,0
0,19,3.0,1999-11-09,Female,Portable Audio & Video,,1999,,0
0,20,4.0,1999-11-10,Female,Portable Audio & Video,,1999,,0
0,21,4.0,1999-11-14,Female,Portable Audio & Video,,1999,,0
0,22,1.0,1999-11-23,Female,Portable Audio & Video,,1999,,0
0,23,3.0,1999-11-24,Female,Portable Audio & Video,,1999,,0
0,24,4.0,1999-11-26,Female,Portable Audio & Video,,1999,,0
0,25,5.0,1999-11-27,Female,Portable Audio & Video,,1999,,0
0,26,5.0,1999-11-29,Female,Portable Audio & Video,,1999,,0
0,27,5.0,1999-11-30,Female,Portable Audio & Video,,1999,,0
0,28,2.0,1999-12-01,Female,Portable Audio & Video,,1999,Female,0
0,29,2.0,1999-12-02,Female,Portable Audio & Video,,1999,,0
0,30,5.0,1999-12-02,Female,Portable Audio & Video,,1999,,0
0,31,4.0,1999-12-02,Female,Portable Audio & Video,,1999,,0
0,32,3.0,1999-12-04,Female,Portable Audio & Video,,1999,,0
0,33,4.0,1999-12-04,Female,Portable Audio & Video,,1999,,0
2,34,5.0,1999-12-05,Female&Male,Headphones,,2000,,0
0,35,5.0,1999-12-06,Female,Portable Audio & Video,,1999,,0
0,36,4.0,1999-12-07,Female,Portable Audio & Video,,1999,,0
